step,no_optimization,TF32,BF16,BF16+TC,BF16+TC+FA,BF16+TC+FA+FuOp,BF16+TC+FA+8bOp
0,2426.58,2288.56,3440.82,42288.33,29893.15,19679.04,17406.67
1,449.82,354.37,246.03,944.64,820.06,760.28,681.02
2,457.58,353.53,248.66,188.88,157.85,155.44,172.58
3,448.89,352.2,247.27,188.53,156.58,152.7,153.5
4,452.96,363.78,247.64,189.6,155.68,153.22,154.63
5,455.16,363.48,247.63,188.57,156.38,152.77,155.99
6,457.26,353.68,248.59,189.53,157.35,153.07,155.99
7,463.63,351.66,247.35,188.16,156.32,153.16,157.4
8,476.85,357.52,248.04,188.48,156.05,153.38,154.99
9,474.05,367.32,246.65,189.47,156.08,153.53,158.17
10,470.17,353.04,247.41,188.66,155.83,152.86,155.24
11,462.28,363.66,246.24,188.66,156.08,153.52,156.18
12,468.84,359.05,247.9,188.91,157.72,153.61,154.75
13,474.14,361.82,246.9,188.63,156.42,156.86,154.37
14,470.27,352.59,247.07,189.93,156.72,158.51,155.22
15,471.08,361.54,246.39,188.92,157.45,158.26,155.81
16,489.78,360.59,247.56,189.36,156.29,158.22,156.72
17,456.11,366.73,246.6,189.62,156.24,158.51,158.15
18,456.09,353.73,246.96,188.61,156.45,157.57,155.49
19,451.25,364.1,249.71,189.66,159.29,158.34,155.08
20,460.95,357.22,247.64,188.72,161.25,158.41,157.05
21,462.62,353.33,246.23,189.23,161.4,158.31,156.14
22,453.78,364.69,247.15,189.55,162.45,1152.43,158.84
23,448.26,357.92,246.16,188.71,161.39,158.34,155.39
24,470.41,359.43,246.78,189.54,161.3,158.26,156.41
25,478.23,353.66,246.16,189.86,162.46,158.72,154.85
26,477.37,352.14,246.98,189.12,1168.18,158.35,155.01
27,468.47,361.74,246.18,189.88,161.56,157.95,157.02
28,473.14,360.16,244.62,188.77,162.88,158.41,162.42
29,476.04,356.56,241.99,189.39,161.4,158.24,163.39
30,472.33,364.16,242.96,188.74,161.83,158.11,161.98
31,469.51,364.34,242.61,188.54,162.07,158.27,162.65
32,465.13,355.99,243.38,189.93,161.52,158.03,162.89
33,472.81,362.68,243.05,188.9,161.41,158.16,162.36
34,469.3,357.02,244.19,188.23,162.61,158.54,162.54
35,470.96,369.34,242.42,189.69,161.23,158.3,165.52
36,464.2,353.71,243.33,189.1,161.54,157.09,162.24
37,477.74,361.49,241.95,189.91,161.5,152.88,161.78
38,1450.62,367.56,243.26,188.29,162.84,153.11,163.37
39,453.15,365.82,242.98,188.48,161.32,153.5,1152.49
40,453.73,358.23,243.05,189.36,161.52,153.08,164.0
41,453.13,356.44,242.31,188.82,162.38,153.65,161.54
42,458.13,366.74,243.41,190.32,161.7,153.64,162.81
43,457.69,355.91,242.26,188.81,161.56,153.16,163.19
44,454.11,362.67,242.94,189.05,162.29,152.87,161.74
45,455.88,367.59,242.17,189.42,161.45,152.95,162.14
46,455.92,354.4,243.71,188.73,161.25,152.73,166.44
47,460.87,357.08,242.07,188.51,157.86,152.65,165.01
48,450.72,365.58,243.53,190.15,156.39,152.91,162.88
49,458.27,359.23,242.03,188.45,156.31,152.81,160.54
50,456.55,1274.98,243.13,188.64,157.57,153.05,154.83
51,456.97,356.4,242.42,188.57,155.96,153.02,155.81
52,454.81,364.81,243.59,188.24,156.86,152.65,156.44
53,456.08,365.33,242.05,189.37,157.36,153.14,159.16
54,463.4,359.32,244.21,188.3,156.6,153.12,155.98
55,456.59,366.87,242.0,190.28,156.6,153.17,155.73
56,455.43,375.16,241.89,188.89,156.85,152.4,156.05
57,453.47,375.4,243.31,188.7,156.78,152.48,156.49
58,457.77,361.25,242.53,189.93,156.71,153.35,158.51
59,442.24,374.34,243.68,189.32,156.65,152.92,156.41
60,428.65,361.86,243.18,190.52,157.98,152.86,154.93
61,440.81,368.1,244.23,188.68,156.51,152.75,155.16
62,436.14,361.54,242.72,188.4,156.95,152.75,154.68
63,441.21,371.47,243.51,189.75,157.35,152.75,155.36
64,431.24,377.09,242.16,188.42,156.46,152.32,158.52
65,434.37,359.4,242.96,188.87,156.25,148.24,155.16
66,434.67,360.41,241.4,191.17,157.17,148.21,156.03
67,433.27,361.28,235.12,193.03,156.64,148.49,155.1
68,439.18,367.94,234.51,194.05,156.6,148.46,155.28
69,429.91,358.96,234.23,192.38,157.05,148.76,156.06
70,441.02,368.93,234.54,193.08,154.04,148.54,155.43
71,433.0,372.69,236.22,194.06,154.03,148.16,156.35
72,451.7,365.18,234.24,193.41,154.26,147.94,155.86
73,451.35,357.67,235.18,194.54,154.47,148.31,156.05
74,455.29,354.13,235.5,193.01,154.67,148.44,157.05
75,462.01,352.08,234.96,192.99,154.69,147.95,155.36
76,454.88,350.26,234.21,194.26,154.38,147.94,154.0
77,454.65,350.43,235.28,193.41,154.07,148.46,155.41
78,459.67,353.76,235.01,194.07,154.25,148.27,151.1
79,456.87,356.04,235.29,193.23,154.25,148.74,147.9
80,461.59,348.9,234.17,193.21,154.51,149.16,147.47
81,458.27,351.18,235.17,194.52,154.29,148.67,149.08
82,458.08,361.43,234.18,194.06,154.24,149.07,149.92
83,463.4,356.74,235.17,193.29,154.48,148.73,147.85
84,459.71,347.8,234.25,194.34,154.51,149.17,148.19
85,465.42,351.84,235.8,193.36,154.14,149.05,148.75
86,449.26,349.16,234.06,194.34,154.45,148.46,147.07
87,463.71,348.99,235.96,193.48,154.49,148.38,149.77
88,462.57,352.23,234.14,193.04,153.96,148.76,149.57
89,460.61,355.74,235.67,193.99,153.9,148.76,146.8
90,456.89,347.56,234.42,193.43,153.99,148.81,147.2
91,463.74,347.67,235.4,193.79,154.04,149.31,147.16
92,459.32,361.54,239.28,193.96,154.12,148.93,150.07
93,456.37,362.47,243.58,193.94,153.86,148.96,147.23
94,459.65,355.2,242.74,193.41,153.97,148.78,147.91
95,477.33,354.27,243.63,193.91,154.34,148.87,149.13
96,477.74,354.1,242.88,195.0,153.77,148.72,148.03
97,476.76,356.65,244.35,193.5,153.75,148.45,147.18
98,474.9,353.81,242.79,193.67,154.57,148.41,149.08
99,470.52,363.63,243.8,194.46,154.01,149.19,147.87
100,477.39,368.45,242.84,193.94,154.11,148.35,148.13
101,480.86,361.38,244.15,194.51,154.05,148.54,148.64
102,472.25,353.76,243.16,193.38,154.59,148.79,150.51
103,475.85,365.44,242.78,193.5,154.16,152.6,148.45
104,476.58,361.09,242.92,194.74,154.35,152.8,149.64
105,476.69,354.57,243.6,194.27,153.65,152.83,148.13
106,470.48,354.25,242.76,194.25,154.23,153.6,148.32
