step,no_optimization,TF32,BF16,BF16+TC,BF16+TC+FA,BF16+TC+FA+FuOp,BF16+TC+FA+8bOp
107,454.56,365.3,242.49,195.61,153.88,153.5,148.96
108,463.21,366.47,243.65,194.18,154.43,153.18,152.55
109,1374.81,361.56,242.96,195.19,154.45,153.24,148.81
110,455.59,356.16,243.49,194.09,154.46,153.49,148.86
111,460.92,368.5,242.94,197.27,154.06,153.41,149.68
112,453.31,358.88,244.1,201.02,154.29,152.92,156.57
113,458.46,355.99,243.23,200.45,154.93,153.39,155.17
114,459.93,354.35,244.57,1207.48,154.11,153.49,155.44
115,454.27,363.06,243.61,199.9,153.75,153.35,158.54
116,457.9,355.53,243.3,200.14,154.19,153.47,156.58
117,456.43,356.4,243.31,201.12,154.16,153.31,157.09
118,456.76,365.24,243.95,200.2,154.35,153.11,158.45
119,465.74,365.98,242.54,201.11,153.98,153.21,154.51
120,450.73,361.35,243.43,199.73,154.83,153.3,155.75
121,464.85,357.89,242.94,200.11,153.51,153.28,156.28
122,456.77,363.26,243.75,201.45,153.25,153.27,155.44
123,463.96,369.52,243.35,200.26,153.4,152.9,155.48
124,456.2,358.49,245.91,201.77,153.05,153.35,158.16
125,454.43,364.09,245.81,199.81,153.13,153.35,155.12
126,458.92,361.8,248.29,200.03,153.16,153.02,155.13
127,468.95,361.75,247.59,202.16,153.58,152.68,156.73
128,462.88,356.52,248.54,201.0,153.41,152.61,156.7
129,459.04,361.22,247.42,200.26,153.65,153.42,158.61
130,460.18,361.48,248.13,201.9,153.46,152.71,154.73
131,458.36,361.27,247.04,200.59,153.24,153.23,155.16
132,465.21,357.62,248.88,200.38,152.88,153.75,155.8
133,455.45,365.74,1255.8,195.16,152.88,153.08,155.31
134,459.96,368.58,255.14,194.1,153.15,153.18,154.76
135,455.53,361.43,254.66,195.27,153.33,158.93,157.01
136,463.18,362.72,257.16,193.02,153.22,153.01,156.57
137,454.6,361.57,255.4,193.86,153.41,152.93,154.84
138,450.72,369.13,255.98,193.3,153.22,153.1,155.2
139,454.51,1327.35,255.24,194.1,152.87,152.75,158.98
140,456.68,361.17,254.81,194.64,152.84,153.28,155.85
141,457.26,366.46,253.54,193.67,152.95,153.1,156.34
142,462.86,370.94,254.38,194.29,153.48,153.1,156.19
143,460.03,365.87,253.78,193.78,153.37,153.4,158.2
144,457.13,376.97,253.82,193.78,153.35,153.59,155.64
145,456.28,376.79,254.42,194.21,153.6,153.08,155.78
146,469.16,376.03,254.04,192.95,153.16,152.54,157.01
147,456.2,368.93,252.72,194.34,153.38,153.03,156.39
148,462.2,372.61,253.27,193.43,153.06,153.32,156.96
149,464.19,377.28,252.76,193.28,153.58,152.89,158.48
